A,B,C,Run,T,c_centro,c_cna,c_q4,c_q6,c_q8,c_q10,c_q12
50,250,700,2,1.565,1.031813038,0.001,0.1498407748,0.3808547419999999,0.2841441559999999,0.2422294519999999,0.29655835
50,250,700,2,1.2,1.014492118,0.005,0.1412679949999999,0.391680241,0.2766870549999999,0.236013097,0.304594323
50,250,700,2,0.973,0.987020991,0.003,0.1384384209,0.3998038379999999,0.268543033,0.232125561,0.3103148239999999
50,250,700,2,0.818,0.956834604,0.011,0.13617784,0.4070382019999999,0.261930068,0.230333999,0.31273786
50,250,700,2,0.706,0.967496473,0.012,0.1322410965,0.407820039,0.260270597,0.229831183,0.314025675
50,250,700,2,0.621,0.6718422526,0.6579999999999999,0.1280636051,0.478597476,0.334007081,0.2192234658999999,0.3443581049999999
50,250,700,3,4.0,1.129180489,0.0,0.164033339,0.349965304,0.300949436,0.256992286,0.28075516
50,250,700,3,2.25,1.088141455,0.002,0.1556284036,0.3654394139999999,0.2917884409999999,0.246454258,0.290141229
50,250,700,3,1.565,1.033545964,0.003,0.1489724498,0.382528373,0.284760356,0.240124192,0.2968448869999999
50,250,700,3,1.2,1.020184024,0.007,0.1405809491,0.3919233909999999,0.274754373,0.23653646,0.304556306
50,250,700,3,0.973,0.982869423,0.006,0.1382696336,0.400720546,0.271353762,0.233186686,0.309860518
50,250,700,3,0.818,0.972986352,0.008,0.1341276836,0.404748767,0.263564699,0.231377526,0.311788593
50,250,700,3,0.706,0.952918398,0.007,0.1328956916,0.410942831,0.255812612,0.232111154,0.315472401
50,250,700,3,0.621,0.9339984256,0.009,0.1316997493,0.4165048739999999,0.2554128289,0.2280799839999999,0.318931766
50,250,700,4,4.0,1.140496553,0.001,0.1690750941,0.34180762,0.306731315,0.255672331,0.282169446
50,250,700,4,2.25,1.087743386,0.0,0.1545714818999999,0.366525337,0.2926038019999999,0.245374116,0.289579647
50,250,700,4,1.565,1.035548557,0.0,0.1495289394,0.3805087139999999,0.285986226,0.239291445,0.296462604
50,250,700,4,1.2,1.015422022,0.007,0.1430803667999999,0.390660605,0.2763231399999999,0.236961928,0.303396655
50,250,700,4,0.973,0.980845474,0.008,0.1393176851,0.400600354,0.2686906659999999,0.233403129,0.307643825
50,250,700,4,0.818,0.969987271,0.008,0.1362892886,0.4044454329999999,0.2652687171,0.2320198849999999,0.311882618
50,250,700,4,0.706,0.972701251,0.004,0.1346348684,0.405003991,0.2653721309999999,0.227700497,0.314605301
50,250,700,4,0.621,0.948917032,0.005,0.1310850189,0.413855565,0.256768383,0.228524043,0.318900231
50,250,700,5,4.0,1.126721972,0.001,0.1663423523999999,0.348553048,0.302425756,0.257194472,0.283677904
50,250,700,5,2.25,1.07344911,0.0,0.1559446343,0.367804448,0.292052667,0.2443981099999999,0.290659532
50,250,700,5,1.565,1.039112331,0.004,0.1512029319999999,0.379200142,0.286316838,0.23897521,0.297045673
